Image,Cost,Adjusted Cost,Total COGS,Stock,Product Discount,Supplier Pack Quantity,Source Link,Lowest Price New FBA,Lowest Price Used FBA,Lowest Price New FBM,Lowest Price Used FBM,Amazon Pack Quantity,Buybox Price,Buybox Price New,Buybox Price Used,# Total Offers,Rank,BSR Percentage,# Variations,Inbound Shipping,Prep Cost,FBA Storage Fees,Sale Proceeds,Profit,Margin,ROI,Competitive Sellers,# New FBA Offers,FBA Fees,Per Item Fee,Variable Closing Fee,Referral Fee,# New FBM Offers,Variations List,Width,Length,Height,Weight,Small & Light Eligible,Small & Light Ineligible Reasons,Blocklisted Brand,Meltable,Has Expiration,Has Prop 65,ASIN,Amazon Title,Size,Brand,Color,Part Number,Model Number,Parent ASIN,Identifier,Supplier Title,Supplier SKU,Supplier Image,MAP,Size Tier,Category,Top Level Category,IP Complaints,Units per Month,Sales per Month,Profit per Month,FBA Eligible,Notes,Create Listing,,Average Price 60d,Average Price 180d,Average BSR 60d,Average BSR 180d,Sales Rank Drops 30d,Sales Rank Drops 60d,Sales Rank Drops 90d,Sales Rank Drops 180d,Amazon in Stock Rate 30d,Amazon in Stock Rate 60d,Amazon in Stock Rate 90d,Amazon in Stock Rate 180d,UPC,EAN,ISBN,Bullet Points,Material,Release Date,Favorited,Tags,Listing Match,Amazon Monthly Sold,Inbound Placement Fee,Return Rate,Errors,Purchase Order Amazon Quantity,Purchase Order Supplier Quantity,Purchase Order Subtotal,Average Price 30d,Average Price 90d,Average BSR 30d,Average BSR 90d
https://m.media-amazon.com/images/I/41LqmE8YR9L.jpg,1.00,1.00,1.00,,,1,,13.28,,13.28,,1,13.27,13.27,,10,182544,0.01,0,0.00,0.00,,8.03,7.03,0.53,7.03,5,4,3.25,,,1.99,6,,3.00,5.00,0.10,0.10,false,,false,false,,true,B0000223UJ,"Bahco Heavy Duty 2"" Replacement Scraper Blade #442",for 440,Bahco,Brown,442,442XXX,,B0000223UJ,,,,,Small Standard,Tools & Home Improvement,true,,27,358.29,189.81,true,,https://sellercentral.amazon.com/product-search/search?q=B0000223UJ,,,,,,,,,,,,,,"419190000026, 622422441058","0419190000026, 0622422441058, 5056437699817",,"Lasts 100 times longer than steel blades, Can be easily resharpened by lapping the back of the blade on a #1200 grit diamond stone, Replacement blade for #650 scraper, 2”, Woodcraft is proud to be America’s leading supplier of high-quality woodworking hand tools, power tools, domestic and exotic wood, shop supplies, project plans and kits, plus so much more! Offering first-rate products for all your woodworking needs and designed to help you make wood work. Our family of brands include WoodRiver high-quality tools and supplies, Highpoint professional-grade fasteners and hardware, precision-engineered Pinnacle tools and Woodcraft Magazine.",Tungsten Carbide,,false,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/41IViHXafuL.jpg,1.00,1.00,1.00,,,1,,25.97,,27.14,,1,25.97,25.97,,10,38531,0.00,0,0.00,0.00,,17.04,16.04,0.62,16.04,3,5,5.81,,,3.12,5,,2.76,8.23,2.60,0.93,false,,false,false,,true,B0000223UD,"Bostik Aerosol Glidecote, 10.75 Oz.",,Bostik,,TC-11B,V207501,,B0000223UD,,,,,Large Standard,Tools & Home Improvement,true,,319,8284.43,5116.76,false,,https://sellercentral.amazon.com/product-search/search?q=B0000223UD,,,,,,,,,,,,,,747224058010,0747224058010,,"Reduces surface friction on table surfaces, Protects tools from corrosion, Will not stain wood or interfere with finishes and glues",,,false,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/61JgtkIPaoL.jpg,1.00,1.00,1.00,,,1,,85.96,,66.18,,1,,,,14,701635,0.03,0,,0.00,,,,,,,2,6.10,,,,12,,4.33,7.20,2.28,1.85,false,,false,false,,true,B0000223QY,"STANLEY Hand Planer, Contractor Grade, 6-1/4-Inch (12-920)",Pack of 1,STANLEY,Black,12-920,12-920,,B0000223QY,,,,,Large Standard,Tools & Home Improvement,true,,0,,,true,,https://sellercentral.amazon.com/product-search/search?q=B0000223QY,,,,,,,,,,,,,,"076174129205, 094700715388, 784497009523","0076174129205, 0094700715388, 0784497009523, 8853447029040",,"6-1/4-inch contractor grade block plane with a 1-5/8-inch cutter, Fully adjustable cutter rests at 21 degrees, Gray, cast-iron base with precision-ground sides and bottom; durable epoxy coating provides long-lasting protection, Quick-release cam-lock makes iron removal easy, 6-1/4 inches long; 1-5/8-inch cutter; limited lifetime warranty",Cast Iron,,false,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/41BuCoPo7OL.jpg,1.00,1.00,1.00,,,1,,,,52.48,,1,,,,21,312204,0.01,0,,0.00,,,,,,,,5.84,,,,21,,4.17,7.44,2.17,1.61,false,,false,false,,true,B0000223QX,"STANLEY Hand Planer, Contractor Grade, Low Angle (12-960)",One Size,STANLEY,Gray,12-960,12-960,,B0000223QX,,,,,Large Standard,Tools & Home Improvement,true,,19,,,true,,https://sellercentral.amazon.com/product-search/search?q=B0000223QX,,,,,,,,,,,,,,"071674129601, 076174129601, 094703159844, 799360185075","0071674129601, 0076174129601, 0094703159844, 0799360185075, 5272003700613, 7294204806701",,"6-inch low angle plane with a 1-3/8-inch cutter, Fully adjustable cutter rests at 13.5 degrees, Gray, cast-iron base with precision-ground sides and bottom; durable epoxy coating provides long-lasting protection, Quick-release cam-lock makes iron removal easy, 6 inches long; 1-3/8-inch cutter; limited lifetime warranty",Blend,,false,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/41GI+L8jF4L.jpg,1.00,1.00,1.00,,,1,,58.37,,57.94,,1,58.99,58.99,,25,151226,0.01,0,0.00,0.00,,48.00,47.00,0.80,47.00,5,1,3.92,,,7.07,24,,2.76,15.59,0.39,0.15,false,,false,false,,true,B0000223JD,Makita 793346-8 Planer Blade for Model 2012 and 2012NB,One Size,Makita,Factory,793346-8,793346-8,,B0000223JD,,,,,Large Standard,Tools & Home Improvement,true,,37,2182.63,1739.00,true,,https://sellercentral.amazon.com/product-search/search?q=B0000223JD,,,,,,,,,,,,,,088381101042,0088381101042,,"Produziert unter strengen Kontrollen, Robust, Energiequelle: Handbetrieben, Original Makita-Qualität, Robust, Zubehör für Makita Werkzeug",High Speed Steel,,false,,,,,,,,,,,,,
,1.00,1.00,1.00,,,1,,,,,,1,,,,,,,0,,0.00,,,,,,,,3.87,,1.80,,,,,,,1.00,false,,false,false,,,B0DMKN9W4W,Ali di babbo,,,,,,,9178896584,,,,,,,false,,,,,false,,https://sellercentral.amazon.com/product-search/search?q=B0DMKN9W4W,,,,,,,,,,,,,,,9789178896585,9178896584,,,,false,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/41nVKmrpv+L.jpg,1.00,1.00,1.00,,,1,,59.99,,57.39,,1,,,,6,535718,0.02,0,,0.00,,,,,,,1,13.69,,,,5,,11.00,11.00,10.00,3.00,false,,false,false,,,9178896584,"IKEA - FADO Table Lamp, White + E26 bulb",,Fado,White,,,,9178896584,,,,,Small Oversize,Tools & Home Improvement,true,,6,,,true,,https://sellercentral.amazon.com/product-search/search?q=9178896584,,,,,,,,,,,,,,,9789178896585,9178896584,Each lamp is unique because the glass is mouth blown.,Polypropylene,,false,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/41L5tNGnfSL.jpg,1.00,1.00,1.00,,,1,,8.99,5.94,8.54,5.32,1,8.99,8.99,5.99,74,8126,1.63,0,0.00,0.00,,3.17,2.17,0.24,2.17,3,1,2.67,,1.80,1.35,18,,8.94,11.97,0.16,0.27,false,,false,false,,,1616770961,"Piano Adventures: Technique and Artistry Book - Primer Level, 2nd Edition | Learn Artistic Expression and Finger Strength | Early Level Piano Method Book | Faber Piano Workbook",,FABER PIANO INSTITUTE,,420189,420189,,1616770961,,,,,Small Standard,Books,true,,,,,true,,https://sellercentral.amazon.com/product-search/search?q=1616770961,,,,,,,,,,,,,,674398201464,"0674398201464, 8601400623015, 9781616770969",1616770961,"Technique & Artistry Book, Pages: 32, Level: Primer, Instrumentation: Piano/Keyboard",,1995-01-01,false,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/51+VFYFVxpL.jpg,1.00,1.00,1.00,,,1,,29.97,,,,1,,,,1,92827,0.00,7,,0.00,,,,,,,1,4.84,,,,,"B0000223SI, B0000223SJ, B0000223SK, B0000223SL, B0000223SM, B0000223SN, B0000223SO",4.09,5.55,3.11,1.01,false,,false,false,,true,B0000223SK,"PORTER-CABLE Sandpaper Roll, Adhesive-Backed, 4 1/2-Inch X 10-Yard, 120-Grit (740001201)",One Size,PORTER-CABLE,Multi,740001201,740001201,B09NBGJM12,B0000223SK,,,,,Large Standard,Tools & Home Improvement,true,,84,,,true,,https://sellercentral.amazon.com/product-search/search?q=B0000223SK,,,,,,,,,,,,,,"039404113153, 745654103911","0039404113153, 0745654103911, 5526680006064, 5915903726573, 7241870922914, 7294204767637, 7535001374407",,"*4-1/2X10 YD 120 GRIT, *4-1/2X10 YD 120 GRIT, *4-1/2X10 YD 120 GRIT, *4-1/2X10 YD 120 GRIT, *4-1/2X10 YD 120 GRIT, Clog- and loading-resistant sandpaper can be used on a wide variety of materials, Comprised of aluminum oxide grain, Resin coating fights against damage caused by heat or humidity, Responsive adhesive gives you greater control, Works on plastic, wood, painted surfaces, fiberglass, and metal",Aluminum Oxide,,false,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/61W+vZfOVJL.jpg,1.00,1.00,20.00,,,1,,11.95,,13.35,,20,11.95,11.95,,6,946046,0.04,1,0.00,0.00,,6.91,-13.09,-1.10,-0.65,1,1,3.25,,,1.79,5,B0000223QE,4.06,6.06,0.63,0.09,false,,false,false,,true,B0000223QE,"Fein Finger Sanding Sheets with Hook & Loop Attachment - Wood, Metal & Plastic Application, Aluminum Oxide, Fully Synthetic-Resin Bonded, 40 Grit, 20-Pack - 63717184012",4.1 x 7.25 inches (pre-overlap dimensions),Fein,Orange,63717184012,63717184012,B0G5MW742H,B0000223QE,,,,,Small Standard,Tools & Home Improvement,true,,0,0.00,0.00,true,,https://sellercentral.amazon.com/product-search/search?q=B0000223QE,,,,,,,,,,,,,,663695400816,"0663695400816, 4014586208473",,"Excellent Sanding Solution - Achieve smooth, professional results on various materials with a 40 grit, ensuring excellent results for a flawless surface on any project., Long-Lasting Durability - Delivers efficient results on tough surfaces like wood, metal, solder joints, GFRP, plastic, paint, filler and leather, perfect for heavy-duty applications., Fast & Secure Attachment - The hook and loop system ensures that sheets attach firmly and can be quickly swapped, allowing for seamless grit transitions and minimizing project downtime for efficient, uninterrupted work., Precision Sanding for Narrow Spaces - Designed in a finger shape to access tight areas, corners and hard-to-reach spots, perfect for detailed sanding on various surfaces., Value Pack for Extended Use - Tailored to meet the needs of large-scale projects, this pack offers unbeatable value and convenience, ensuring you’re always equipped with quality reliable tools for the job.",Aluminum Oxide,,false,,,,,,,,,,,,,
