ASIN,US_BB_Price,Package_Weight,FBA_Fee,Referral_Fee,Shipping_Cost,Sales_Rank_Drops,Category,created_at,last_updated,Seller
B0000223UJ,13.27,0.10,3.25,1.99,0.00,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
B0000223UD,25.97,0.93,5.81,3.12,0.00,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
B0000223QY,85.96,1.85,6.10,,,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
B0000223QX,,1.61,5.84,,,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
B0000223JD,58.99,0.15,3.92,7.07,0.00,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
B0DMKN9W4W,,1.00,3.87,,,,,2026-01-15 11:09:07,2026-01-15 11:09:07,
9178896584,59.99,3.00,13.69,,,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
1616770961,8.99,0.27,2.67,1.35,0.00,,Books,2026-01-15 11:09:07,2026-01-15 11:09:07,B
B0000223SK,29.97,1.01,4.84,,,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
B0000223QE,11.95,0.09,3.25,1.79,0.00,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
1681800365,29.99,0.35,4.16,4.50,0.00,,Tools & Home Improvement,2026-01-15 11:09:07,2026-01-15 11:09:07,B
